"COURSE_IDNUMBER","COURSE_SHORTNAME","COURSE_FULLNAME","COURSE_SUMMARY","COURSE_TAGS","COURSE_VISIBLE","COURSE_THUMBNAIL","COURSE_CATEGORYIDNUMBER","COURSE_CATEGORYNAME","EXTERNAL_NAME","EXTERNAL_INTRO","EXTERNAL_CONTENT","EXTERNAL_MARKCOMPLETEEXTERNALLY"
"https://xapi.percipio.com/xapi/book/0a8bde7d-bfdc-4314-a9bf-7d4e9db5c47d","Up and Running with DAX for Power BI: A Concise Guide for Non-Technical Users (0a8bde7d-bfdc-4314-a9bf-7d4e9db5c47d)","Up and Running with DAX for Power BI: A Concise Guide for Non-Technical Users","Language: English(United States)<br/>Type: Book<br/>By: Alison Box<br/>Copyright: Apress (c) 2022<br/>ISBN: 9781484281871<br/>This book focuses on explaining the core concepts of DAX so that ordinary folks can gain the skills required to tackle complex data analysis problems. But make no mistake, this is in no way an introductory book on DAX.<br/>Last Updated: 7 days ago<br/>","Book|English(United States)|Data|Data Visualization & Reporting|Power BI|Productivity & Collaboration Tools|Productivity Tools","1","https://images.books24x7.com/coverimages/159583.png?width=400","b086cc41-2a94-11e7-9149-6dad704035be_en-US","Power BI [English(United States)]","Up and Running with DAX for Power BI: A Concise Guide for Non-Technical Users","Language: English(United States)<br/>Type: Book<br/>By: Alison Box<br/>Copyright: Apress (c) 2022<br/>ISBN: 9781484281871<br/>This book focuses on explaining the core concepts of DAX so that ordinary folks can gain the skills required to tackle complex data analysis problems. But make no mistake, this is in no way an introductory book on DAX.<br/>Last Updated: 7 days ago<br/>","<a href=""https://share.percipio.com/cd/xf4XndAsBqfe"" target=""_blank""><img src=""https://images.books24x7.com/coverimages/159583.png?width=400"" alt=""Up and Running with DAX for Power BI: A Concise Guide for Non-Technical Users"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book<br/>By: Alison Box<br/>Copyright: Apress (c) 2022<br/>ISBN: 9781484281871<br/><br/>This book focuses on explaining the core concepts of DAX so that ordinary folks can gain the skills required to tackle complex data analysis problems. But make no mistake, this is in no way an introductory book on DAX.<br/><br/>Last Updated: 7 days ago<br/><a href=""https://share.percipio.com/cd/xf4XndAsBqfe"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/book/105ca919-5191-4212-a404-0a7965fb091e","SAP Business ByDesign: Business User Guide (105ca919-5191-4212-a404-0a7965fb091e)","SAP Business ByDesign: Business User Guide","Language: English(United States)<br/>Type: Book<br/>By: Andrew Howell, Caroline Atkinson, Laura Widner, Thomas Kramer<br/>Copyright: Rheinwerk Publishing Inc. (c) 2022<br/>ISBN: 9781493221912<br/>Tired of relying on ancient documentation and outdated Google results to run SAP Business ByDesign? Look no further! Whether you're just learning to navigate from screen to screen or you're ready to dive straight in to core operations, you'll get the step-by-step instructions you need.<br/>Last Updated: 6 days ago<br/>","Book|English(United States)|Data|Data Platforms|SAP Solutions","1","https://images.books24x7.com/coverimages/159329.png?width=400","a7d9d717-3958-4dda-89c6-8a00b2666b2b_en-US","SAP Solutions [English(United States)]","SAP Business ByDesign: Business User Guide","Language: English(United States)<br/>Type: Book<br/>By: Andrew Howell, Caroline Atkinson, Laura Widner, Thomas Kramer<br/>Copyright: Rheinwerk Publishing Inc. (c) 2022<br/>ISBN: 9781493221912<br/>Tired of relying on ancient documentation and outdated Google results to run SAP Business ByDesign? Look no further! Whether you're just learning to navigate from screen to screen or you're ready to dive straight in to core operations, you'll get the step-by-step instructions you need.<br/>Last Updated: 6 days ago<br/>","<a href=""https://share.percipio.com/cd/kgML7mV2UQMY"" target=""_blank""><img src=""https://images.books24x7.com/coverimages/159329.png?width=400"" alt=""SAP Business ByDesign: Business User Guide"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book<br/>By: Andrew Howell, Caroline Atkinson, Laura Widner, Thomas Kramer<br/>Copyright: Rheinwerk Publishing Inc. (c) 2022<br/>ISBN: 9781493221912<br/><br/>Tired of relying on ancient documentation and outdated Google results to run SAP Business ByDesign? Look no further! Whether you're just learning to navigate from screen to screen or you're ready to dive straight in to core operations, you'll get the step-by-step instructions you need.<br/><br/>Last Updated: 6 days ago<br/><a href=""https://share.percipio.com/cd/kgML7mV2UQMY"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/book/14eff8c1-f09b-4336-915f-887149cb63dc","Receivables Management with SAP S4HANA (14eff8c1-f09b-4336-915f-887149cb63dc)","Receivables Management with SAP S4HANA","Language: English(United States)<br/>Type: Book<br/>By: Chirag Chokshi<br/>Copyright: Rheinwerk Publishing Inc. (c) 2022<br/>ISBN: 9781493221820<br/>This book is your comprehensive guide for both standard and advanced processes! Once you've set up your master data, configure and use both basic AR and specialized tasks.<br/>Last Updated: 6 days ago<br/>","Book|English(United States)|Data|Data Platforms|SAP Solutions","1","https://images.books24x7.com/coverimages/159330.png?width=400","a7d9d717-3958-4dda-89c6-8a00b2666b2b_en-US","SAP Solutions [English(United States)]","Receivables Management with SAP S4HANA","Language: English(United States)<br/>Type: Book<br/>By: Chirag Chokshi<br/>Copyright: Rheinwerk Publishing Inc. (c) 2022<br/>ISBN: 9781493221820<br/>This book is your comprehensive guide for both standard and advanced processes! Once you've set up your master data, configure and use both basic AR and specialized tasks.<br/>Last Updated: 6 days ago<br/>","<a href=""https://share.percipio.com/cd/GfxT-vLtRQS-"" target=""_blank""><img src=""https://images.books24x7.com/coverimages/159330.png?width=400"" alt=""Receivables Management with SAP S/4HANA"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book<br/>By: Chirag Chokshi<br/>Copyright: Rheinwerk Publishing Inc. (c) 2022<br/>ISBN: 9781493221820<br/><br/>This book is your comprehensive guide for both standard and advanced processes! Once you've set up your master data, configure and use both basic AR and specialized tasks.<br/><br/>Last Updated: 6 days ago<br/><a href=""https://share.percipio.com/cd/GfxT-vLtRQS-"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/course/186c6fd2-bcb5-401c-924e-8b8209faeee1","Continuous Data: Automating Data Ingestion from Cloud Storage into Snowflake (186c6fd2-bcb5-401c-924e-8b8209faeee1)","Continuous Data: Automating Data Ingestion from Cloud Storage into Snowflake","Language: English(United States)<br/>Type: Course<br/>The Snowpipe feature allows Snowflake to input micro-batches of data as it becomes available, generally within minutes of the data being added to a stage and submitted for ingestion. In this course, you will implement the auto-ingestion of CSV files from external Snowflake stages located on the AWS and Azure cloud platforms. You will begin by setting up a continuous data ingestion pipeline where the data source is located in an Azure Storage Container. This pipeline will include several components, such as queues, enterprise applications, and storage integrations as well as the permissions required to get these pieces to talk to one another. You will then implement something similar with an Amazon S3 bucket as the source of data. This set-up will involve AWS services such as IAM roles, SNS topics, as well as Snowflake objects such as notification integrations and pipes.<br/>Last Updated: a day ago<br/>","Course|English(United States)|Data|Data Platforms|Snowflake","1","https://cdn2.percipio.com/public/b/7a549701-fa63-400c-a43e-888563570a0c/image001/modality/image001.jpg?width=400","eeafff43-be95-4e0e-823e-eaeb682eff75_en-US","Snowflake [English(United States)]","Continuous Data: Automating Data Ingestion from Cloud Storage into Snowflake","Language: English(United States)<br/>Type: Course<br/>The Snowpipe feature allows Snowflake to input micro-batches of data as it becomes available, generally within minutes of the data being added to a stage and submitted for ingestion. In this course, you will implement the auto-ingestion of CSV files from external Snowflake stages located on the AWS and Azure cloud platforms. You will begin by setting up a continuous data ingestion pipeline where the data source is located in an Azure Storage Container. This pipeline will include several components, such as queues, enterprise applications, and storage integrations as well as the permissions required to get these pieces to talk to one another. You will then implement something similar with an Amazon S3 bucket as the source of data. This set-up will involve AWS services such as IAM roles, SNS topics, as well as Snowflake objects such as notification integrations and pipes.<br/>Last Updated: a day ago<br/>","<a href=""https://share.percipio.com/cd/FCEUhtGi7o5j"" target=""_blank""><img src=""https://cdn2.percipio.com/public/b/7a549701-fa63-400c-a43e-888563570a0c/image001/modality/image001.jpg?width=400"" alt=""Continuous Data: Automating Data Ingestion from Cloud Storage into Snowflake"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Course<br/><br/>The Snowpipe feature allows Snowflake to input micro-batches of data as it becomes available, generally within minutes of the data being added to a stage and submitted for ingestion. In this course, you will implement the auto-ingestion of CSV files from external Snowflake stages located on the AWS and Azure cloud platforms. You will begin by setting up a continuous data ingestion pipeline where the data source is located in an Azure Storage Container. This pipeline will include several components, such as queues, enterprise applications, and storage integrations as well as the permissions required to get these pieces to talk to one another. You will then implement something similar with an Amazon S3 bucket as the source of data. This set-up will involve AWS services such as IAM roles, SNS topics, as well as Snowflake objects such as notification integrations and pipes.<br/><br/>Last Updated: a day ago<br/><a href=""https://share.percipio.com/cd/FCEUhtGi7o5j"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/assessment/1aec9af0-fb04-4e44-a2cb-fd5ebf62ce7c","Excel 2019: Data Visualization with Excel Proficiency (1aec9af0-fb04-4e44-a2cb-fd5ebf62ce7c)","Excel 2019: Data Visualization with Excel Proficiency","Language: English(United States)<br/>Type: Skill BenchMark<br/>The Data Visualization with Excel Proficiency benchmark will measure your ability to recall, relate, demonstrate, and apply data visualization concepts and techniques in Excel. You will be evaluated on your ability to draw, customize, and visualize various types of charts and graphs in Excel. A learner who scores high on this benchmark demonstrates that they have the required data visualization skills to understand, apply, and work independently on visualization projects using Excel.<br/>Last Updated: 3 hours ago<br/>","Skill BenchMark|English(United States)|Data|Data Visualization & Reporting|Data Visualization Core Concepts","1","https://cdn2.percipio.com/public/c/public/images/skill-benchmark-image/modality/skill-benchmark-image.jpg?width=400","","","Excel 2019: Data Visualization with Excel Proficiency","Language: English(United States)<br/>Type: Skill BenchMark<br/>The Data Visualization with Excel Proficiency benchmark will measure your ability to recall, relate, demonstrate, and apply data visualization concepts and techniques in Excel. You will be evaluated on your ability to draw, customize, and visualize various types of charts and graphs in Excel. A learner who scores high on this benchmark demonstrates that they have the required data visualization skills to understand, apply, and work independently on visualization projects using Excel.<br/>Last Updated: 3 hours ago<br/>","<a href=""https://share.percipio.com/cd/jn8xESI_7okY"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/public/images/skill-benchmark-image/modality/skill-benchmark-image.jpg?width=400"" alt=""Data Visualization with Excel Proficiency"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Skill BenchMark<br/><br/>The Data Visualization with Excel Proficiency benchmark will measure your ability to recall, relate, demonstrate, and apply data visualization concepts and techniques in Excel. You will be evaluated on your ability to draw, customize, and visualize various types of charts and graphs in Excel. A learner who scores high on this benchmark demonstrates that they have the required data visualization skills to understand, apply, and work independently on visualization projects using Excel.<br/><br/>Last Updated: 3 hours ago<br/><a href=""https://share.percipio.com/cd/jn8xESI_7okY"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/book/21003b51-98c8-4b13-9ea5-0983546d6415","Voice Content and Usability (21003b51-98c8-4b13-9ea5-0983546d6415)","Voice Content and Usability","Language: English(United States)<br/>Type: Book<br/>By: Preston So<br/>Copyright: A Book Apart, LLC (c) 2021<br/>ISBN: 9781952616020<br/>Interfaces have long been visual affairs, with content confined to the text and images behind our screens. But that's changing.<br/>Last Updated: 6 days ago<br/>","Book|English(United States)|Programming|Web Design|Web Development","1","https://cdn2.percipio.com/public/c/books/159596/cover-images/7271f3c8-8230-4fc6-bec3-c488c1291da7/modality/7271f3c8-8230-4fc6-bec3-c488c1291da7.jpg?width=400","e42e3331-195f-11e7-b488-c198130a9b04_en-US","Web Design [English(United States)]","Voice Content and Usability","Language: English(United States)<br/>Type: Book<br/>By: Preston So<br/>Copyright: A Book Apart, LLC (c) 2021<br/>ISBN: 9781952616020<br/>Interfaces have long been visual affairs, with content confined to the text and images behind our screens. But that's changing.<br/>Last Updated: 6 days ago<br/>","<a href=""https://share.percipio.com/cd/935p4P2r6ndG"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/159596/cover-images/7271f3c8-8230-4fc6-bec3-c488c1291da7/modality/7271f3c8-8230-4fc6-bec3-c488c1291da7.jpg?width=400"" alt=""Voice Content and Usability"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book<br/>By: Preston So<br/>Copyright: A Book Apart, LLC (c) 2021<br/>ISBN: 9781952616020<br/><br/>Interfaces have long been visual affairs, with content confined to the text and images behind our screens. But that's changing.<br/><br/>Last Updated: 6 days ago<br/><a href=""https://share.percipio.com/cd/935p4P2r6ndG"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/course/21d62a9f-7aef-48fb-b130-f0754b77a5cb","Cloud Security, Risk, and Compliance: Risk & Compliance in the Cloud Era (21d62a9f-7aef-48fb-b130-f0754b77a5cb)","Cloud Security, Risk, and Compliance: Risk & Compliance in the Cloud Era","Language: English(United States)<br/>Type: Course<br/>Key decision-makers need to understand the risks of modern cloud-based solutions as they plan their organization's move from traditional on-premises solutions. In this course, you will explore the risks associated with outsourcing services to a third-party cloud provider, especially related to critical services such as payment data. Discover potential legal risks associated with cloud computing that may apply to healthcare, banking, and government agencies. Explore risks such as lack of control, availability, and inexperienced staff. Discover how the lack of due diligence when moving to the cloud can result in security or privacy risks and how compliance in the cloud era compares to that of the earlier IT era. Lastly, explore cloud compliance standards, enforcement procedures, and risk management frameworks that can help manage risk in the cloud.<br/>Last Updated: 3 hours ago<br/>","Course|English(United States)|Cloud Basics|Cloud Services","1","https://cdn2.percipio.com/public/b/bfc52333-88a2-4138-89f5-4fa02ce10b28/image001/modality/image001.jpg?width=400","17913de0-df49-11e6-93f3-0242c0a80605_en-US","Cloud Basics [English(United States)]","Cloud Security, Risk, and Compliance: Risk & Compliance in the Cloud Era","Language: English(United States)<br/>Type: Course<br/>Key decision-makers need to understand the risks of modern cloud-based solutions as they plan their organization's move from traditional on-premises solutions. In this course, you will explore the risks associated with outsourcing services to a third-party cloud provider, especially related to critical services such as payment data. Discover potential legal risks associated with cloud computing that may apply to healthcare, banking, and government agencies. Explore risks such as lack of control, availability, and inexperienced staff. Discover how the lack of due diligence when moving to the cloud can result in security or privacy risks and how compliance in the cloud era compares to that of the earlier IT era. Lastly, explore cloud compliance standards, enforcement procedures, and risk management frameworks that can help manage risk in the cloud.<br/>Last Updated: 3 hours ago<br/>","<a href=""https://share.percipio.com/cd/X4c-IWYReMyu"" target=""_blank""><img src=""https://cdn2.percipio.com/public/b/bfc52333-88a2-4138-89f5-4fa02ce10b28/image001/modality/image001.jpg?width=400"" alt=""Cloud Security, Risk, and Compliance: Risk & Compliance in the Cloud Era"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Course<br/><br/>Key decision-makers need to understand the risks of modern cloud-based solutions as they plan their organization's move from traditional on-premises solutions. In this course, you will explore the risks associated with outsourcing services to a third-party cloud provider, especially related to critical services such as payment data. Discover potential legal risks associated with cloud computing that may apply to healthcare, banking, and government agencies. Explore risks such as lack of control, availability, and inexperienced staff. Discover how the lack of due diligence when moving to the cloud can result in security or privacy risks and how compliance in the cloud era compares to that of the earlier IT era. Lastly, explore cloud compliance standards, enforcement procedures, and risk management frameworks that can help manage risk in the cloud.<br/><br/>Last Updated: 3 hours ago<br/><a href=""https://share.percipio.com/cd/X4c-IWYReMyu"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/book/23d80291-8e16-49c9-928c-542115ab885b","Introducing Microsoft Orleans: Implementing Cloud-Native Services with a Virtual Actor Framework (23d80291-8e16-49c9-928c-542115ab885b)","Introducing Microsoft Orleans: Implementing Cloud-Native Services with a Virtual Actor Framework","Language: English(United States)<br/>Type: Book<br/>By: Thomas Nelson<br/>Copyright: Apress (c) 2022<br/>ISBN: 9781484280133<br/>Welcome to Orleans, a virtual actor framework from Microsoft that allows a single developer to create immensely scalable, available applications while maintaining a high throughput. This guide is designed to give you a foundational understanding of Orleans, an overview of its implementations, and plenty of hands-on coding experience.<br/>Last Updated: 7 days ago<br/>","Book|English(United States)|Cross-Platform Development|Software Architectures|Software Craft","1","https://images.books24x7.com/coverimages/159584.png?width=400","b4cfd2e0-3bf3-11e7-9f4b-31846c93960b_en-US","Cross-Platform Development [English(United States)]","Introducing Microsoft Orleans: Implementing Cloud-Native Services with a Virtual Actor Framework","Language: English(United States)<br/>Type: Book<br/>By: Thomas Nelson<br/>Copyright: Apress (c) 2022<br/>ISBN: 9781484280133<br/>Welcome to Orleans, a virtual actor framework from Microsoft that allows a single developer to create immensely scalable, available applications while maintaining a high throughput. This guide is designed to give you a foundational understanding of Orleans, an overview of its implementations, and plenty of hands-on coding experience.<br/>Last Updated: 7 days ago<br/>","<a href=""https://share.percipio.com/cd/53OumlaWO442"" target=""_blank""><img src=""https://images.books24x7.com/coverimages/159584.png?width=400"" alt=""Introducing Microsoft Orleans: Implementing Cloud-Native Services with a Virtual Actor Framework"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book<br/>By: Thomas Nelson<br/>Copyright: Apress (c) 2022<br/>ISBN: 9781484280133<br/><br/>Welcome to Orleans, a virtual actor framework from Microsoft that allows a single developer to create immensely scalable, available applications while maintaining a high throughput. This guide is designed to give you a foundational understanding of Orleans, an overview of its implementations, and plenty of hands-on coding experience.<br/><br/>Last Updated: 7 days ago<br/><a href=""https://share.percipio.com/cd/53OumlaWO442"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/book/2d7f3d05-8c4c-43a8-9d22-f61b22e13819","Blazor in Action (2d7f3d05-8c4c-43a8-9d22-f61b22e13819)","Blazor in Action","Language: English(United States)<br/>Type: Book<br/>By: Chris Sainty<br/>Copyright: Manning Publications (c) 2022<br/>ISBN: 9781617298646<br/>Blazor in Action is a practical guide to building stunning UIs and client-side applications using C# and .NET.<br/>Last Updated: 7 days ago<br/>","Book|English(United States)|Software Craft|Software Dev Practices|Software Development Core Concepts","1","https://cdn2.percipio.com/public/c/books/159631/cover-images/87adea90-31b3-44da-8ecb-95fe52ab7b0b/modality/87adea90-31b3-44da-8ecb-95fe52ab7b0b.jpg?width=400","937c5ef0-e19f-11e6-93f3-0242c0a80605_en-US","Software Development Core Concepts [English(United States)]","Blazor in Action","Language: English(United States)<br/>Type: Book<br/>By: Chris Sainty<br/>Copyright: Manning Publications (c) 2022<br/>ISBN: 9781617298646<br/>Blazor in Action is a practical guide to building stunning UIs and client-side applications using C# and .NET.<br/>Last Updated: 7 days ago<br/>","<a href=""https://share.percipio.com/cd/z8wPcadFxgo1S"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/159631/cover-images/87adea90-31b3-44da-8ecb-95fe52ab7b0b/modality/87adea90-31b3-44da-8ecb-95fe52ab7b0b.jpg?width=400"" alt=""Blazor in Action"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book<br/>By: Chris Sainty<br/>Copyright: Manning Publications (c) 2022<br/>ISBN: 9781617298646<br/><br/>Blazor in Action is a practical guide to building stunning UIs and client-side applications using C# and .NET.<br/><br/>Last Updated: 7 days ago<br/><a href=""https://share.percipio.com/cd/z8wPcadFxgo1S"" target=""_blank"">Launch</a><br/>","1"
"https://xapi.percipio.com/xapi/course/2dc7debc-30b4-45f9-a788-cf61d39c8a5b","Queries in Snowflake: Search Optimization, External Table Partitions, & Views (2dc7debc-30b4-45f9-a788-cf61d39c8a5b)","Queries in Snowflake: Search Optimization, External Table Partitions, & Views","Language: English(United States)<br/>Type: Course<br/>Search optimization service is a Snowflake feature used to create an auxiliary data structure optimized as a search access path to improve selective point lookup query performance. While search optimization is an extremely handy feature, it can also run up substantial storage and compute costs. In this course, learn how to implement search optimizations by measuring the cost of search optimizations for your table and adding the service to it. Next, differentiate between search optimizations and clustering and discover how to implement partitioning for external tables. Finally, practice working with views in Snowflake and differentiate between non-materialized, materialized, and secure views. Upon completion, you'll be able to leverage search optimization in Snowflake, implement external table partitioning, and use and analyze views.<br/>Last Updated: 3 days ago<br/>","Course|English(United States)|Data|Data Platforms|Snowflake","1","https://cdn2.percipio.com/public/c/course/images/saved/2dc7debc-30b4-45f9-a788-cf61d39c8a5b/b585b7aa-c9be-40e0-9bc7-5f60c3c30a3a/modality/b585b7aa-c9be-40e0-9bc7-5f60c3c30a3a.jpg?width=400","eeafff43-be95-4e0e-823e-eaeb682eff75_en-US","Snowflake [English(United States)]","Queries in Snowflake: Search Optimization, External Table Partitions, & Views","Language: English(United States)<br/>Type: Course<br/>Search optimization service is a Snowflake feature used to create an auxiliary data structure optimized as a search access path to improve selective point lookup query performance. While search optimization is an extremely handy feature, it can also run up substantial storage and compute costs. In this course, learn how to implement search optimizations by measuring the cost of search optimizations for your table and adding the service to it. Next, differentiate between search optimizations and clustering and discover how to implement partitioning for external tables. Finally, practice working with views in Snowflake and differentiate between non-materialized, materialized, and secure views. Upon completion, you'll be able to leverage search optimization in Snowflake, implement external table partitioning, and use and analyze views.<br/>Last Updated: 3 days ago<br/>","<a href=""https://share.percipio.com/cd/yJs72sAkaiUac"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/course/images/saved/2dc7debc-30b4-45f9-a788-cf61d39c8a5b/b585b7aa-c9be-40e0-9bc7-5f60c3c30a3a/modality/b585b7aa-c9be-40e0-9bc7-5f60c3c30a3a.jpg?width=400"" alt=""Queries in Snowflake: Search Optimization, External Table Partitions, & Views"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Course<br/><br/>Search optimization service is a Snowflake feature used to create an auxiliary data structure optimized as a search access path to improve selective point lookup query performance. While search optimization is an extremely handy feature, it can also run up substantial storage and compute costs. In this course, learn how to implement search optimizations by measuring the cost of search optimizations for your table and adding the service to it. Next, differentiate between search optimizations and clustering and discover how to implement partitioning for external tables. Finally, practice working with views in Snowflake and differentiate between non-materialized, materialized, and secure views. Upon completion, you'll be able to leverage search optimization in Snowflake, implement external table partitioning, and use and analyze views.<br/><br/>Last Updated: 3 days ago<br/><a href=""https://share.percipio.com/cd/yJs72sAkaiUac"" target=""_blank"">Launch</a><br/>","1"
