COURSE_IDNUMBER,COURSE_SHORTNAME,COURSE_FULLNAME,COURSE_SUMMARY,COURSE_TAGS,COURSE_VISIBLE,COURSE_THUMBNAIL,COURSE_CATEGORYIDNUMBER,COURSE_CATEGORYNAME,EXTERNAL_NAME,EXTERNAL_INTRO,EXTERNAL_CONTENT,EXTERNAL_MARKCOMPLETEEXTERNALLY
https://xapi.percipio.com/xapi/book/79fa9dbb-e83d-42d2-a6b7-b9c071fd5783,《虚拟领导力：让虚拟工作和虚拟团队获得最佳效果的实用策略》 (79fa9dbb-e83d-42d2-a6b7-b9c071fd5783),《虚拟领导力：让虚拟工作和虚拟团队获得最佳效果的实用策略》,Language: Chinese(China)<br/>Type: Book Summary<br/>By: Penny Pullan<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9780749475970<br/>《虚拟领导力》探究了远程工作的有关挑战，指导大家如何领导虚拟团队。在摘要中，我们根据自己对该书内容的理解探讨了文中的要点。,Book Summary|Chinese(China)|Business Continuity|Business Strategy|Management,1,https://cdn2.percipio.com/public/c/books/149995/cover-images/1b1e7380-de44-4ccb-b2ce-0779a569683a/modality/1b1e7380-de44-4ccb-b2ce-0779a569683a.jpg?width=400,e27c4b77-f05f-4781-8e1a-48926005796d_zh-CN,Business Continuity [Chinese(China)],《虚拟领导力：让虚拟工作和虚拟团队获得最佳效果的实用策略》,Language: Chinese(China)<br/>Type: Book Summary<br/>By: Penny Pullan<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9780749475970<br/>《虚拟领导力》探究了远程工作的有关挑战，指导大家如何领导虚拟团队。在摘要中，我们根据自己对该书内容的理解探讨了文中的要点。,"<a href=""https://share.percipio.com/cd/PN8Zvs0VhtUi"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/149995/cover-images/1b1e7380-de44-4ccb-b2ce-0779a569683a/modality/1b1e7380-de44-4ccb-b2ce-0779a569683a.jpg?width=400"" alt=""《虚拟领导力：让虚拟工作和虚拟团队获得最佳效果的实用策略》"" class=""img-responsive""></a><br/><br/>Language: Chinese(China)<br/>Type: Book Summary<br/>By: Penny Pullan<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9780749475970<br/><br/>《虚拟领导力》探究了远程工作的有关挑战&#xff0c;指导大家如何领导虚拟团队。在摘要中&#xff0c;我们根据自己对该书内容的理解探讨了文中的要点。<br/><a href=""https://share.percipio.com/cd/PN8Zvs0VhtUi"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/494c0dcd-baf5-4be9-9c12-631d87b74a00,"Agile PR: Expert Messaging in a Hyper-Connected, Always-On World (494c0dcd-baf5-4be9-9c12-631d87b74a00)","Agile PR: Expert Messaging in a Hyper-Connected, Always-On World","Language: English(United States)<br/>Type: Book Summary<br/>By: Marian Salzman<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9780814437872<br/>Agile PR offers professionals a 360-degree look at a changing industry and provides guidance on how to succeed in the age of smartphones and millennials. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Agile Development|Software Craft|Software Dev Practices,1,https://cdn2.percipio.com/public/c/books/135271/cover-images/6e552868-94d3-4a3a-9e41-55f40490a96c/modality/6e552868-94d3-4a3a-9e41-55f40490a96c.jpg?width=400,9c850481-0e5d-11e7-92d8-37e13b311be2_en-US,Agile Development [English(United States)],"Agile PR: Expert Messaging in a Hyper-Connected, Always-On World","Language: English(United States)<br/>Type: Book Summary<br/>By: Marian Salzman<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9780814437872<br/>Agile PR offers professionals a 360-degree look at a changing industry and provides guidance on how to succeed in the age of smartphones and millennials. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/aoOCH7lWgen3"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/135271/cover-images/6e552868-94d3-4a3a-9e41-55f40490a96c/modality/6e552868-94d3-4a3a-9e41-55f40490a96c.jpg?width=400"" alt=""Agile PR: Expert Messaging in a Hyper-Connected, Always-On World"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Marian Salzman<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9780814437872<br/><br/>Agile PR offers professionals a 360-degree look at a changing industry and provides guidance on how to succeed in the age of smartphones and millennials. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/aoOCH7lWgen3"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/7c23412d-c077-4cb8-8d24-977d6f1af29c,Agile Kaizen: Managing Continuous Improvement Far Beyond Retrospectives (7c23412d-c077-4cb8-8d24-977d6f1af29c),Agile Kaizen: Managing Continuous Improvement Far Beyond Retrospectives,"Language: English(United States)<br/>Type: Book Summary<br/>By: Ángel Medinilla<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9783642549908<br/>Agile Kaizen discusses the methods needed to understand, implement, and nurture a Kaizen culture within your company. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Agile Development|Software Craft|Software Dev Practices,1,https://cdn2.percipio.com/public/c/books/129716/cover-images/653a05b7-1aca-42ba-a2cb-f3dbb2326c63/modality/653a05b7-1aca-42ba-a2cb-f3dbb2326c63.jpg?width=400,9c850481-0e5d-11e7-92d8-37e13b311be2_en-US,Agile Development [English(United States)],Agile Kaizen: Managing Continuous Improvement Far Beyond Retrospectives,"Language: English(United States)<br/>Type: Book Summary<br/>By: Ángel Medinilla<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9783642549908<br/>Agile Kaizen discusses the methods needed to understand, implement, and nurture a Kaizen culture within your company. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/mH7EoXEhGdjZQ"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/129716/cover-images/653a05b7-1aca-42ba-a2cb-f3dbb2326c63/modality/653a05b7-1aca-42ba-a2cb-f3dbb2326c63.jpg?width=400"" alt=""Agile Kaizen: Managing Continuous Improvement Far Beyond Retrospectives"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Ángel Medinilla<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9783642549908<br/><br/>Agile Kaizen discusses the methods needed to understand, implement, and nurture a Kaizen culture within your company. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/mH7EoXEhGdjZQ"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/eb35ac80-cebd-4571-94e7-f98259cef0ca,The New IT: How Technology Leaders Are Enabling Business Strategy in the Digital Age (eb35ac80-cebd-4571-94e7-f98259cef0ca),The New IT: How Technology Leaders Are Enabling Business Strategy in the Digital Age,"Language: English(United States)<br/>Type: Book Summary<br/>By: Jill Dyché<br/>Copyright: Skillsoft (c) 2017<br/>ISBN: 9780071846981<br/>The New IT is an invaluable manual for the Digital Age, enabling leaders to harness the power of IT to meet the shifting demands of today's consumers. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Agile Development|Software Craft|Software Dev Practices,1,https://cdn2.percipio.com/public/c/books/119942/cover-images/aa4c77d8-eb8b-472b-820e-3ca44e3c4cae/modality/aa4c77d8-eb8b-472b-820e-3ca44e3c4cae.jpg?width=400,9c850481-0e5d-11e7-92d8-37e13b311be2_en-US,Agile Development [English(United States)],The New IT: How Technology Leaders Are Enabling Business Strategy in the Digital Age,"Language: English(United States)<br/>Type: Book Summary<br/>By: Jill Dyché<br/>Copyright: Skillsoft (c) 2017<br/>ISBN: 9780071846981<br/>The New IT is an invaluable manual for the Digital Age, enabling leaders to harness the power of IT to meet the shifting demands of today's consumers. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/JNJ5GJutAq08q"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/119942/cover-images/aa4c77d8-eb8b-472b-820e-3ca44e3c4cae/modality/aa4c77d8-eb8b-472b-820e-3ca44e3c4cae.jpg?width=400"" alt=""The New IT: How Technology Leaders Are Enabling Business Strategy in the Digital Age"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Jill Dyché<br/>Copyright: Skillsoft (c) 2017<br/>ISBN: 9780071846981<br/><br/>The New IT is an invaluable manual for the Digital Age, enabling leaders to harness the power of IT to meet the shifting demands of today&#39;s consumers. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/JNJ5GJutAq08q"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/55b85744-1a3b-4ad0-8ec4-b7636d139e0c,"Agile Project Management for Dummies, 2nd Edition (55b85744-1a3b-4ad0-8ec4-b7636d139e0c)","Agile Project Management for Dummies, 2nd Edition","Language: English(United States)<br/>Type: Book Summary<br/>By: Mark C. Layton, Steven J. Ostermiller<br/>Copyright: Skillsoft (c) 2019<br/>ISBN: 9781119405696<br/>Agile Project Management, 2nd Edition discusses how to reduce risk and manage time, scope, and cost through agile project management. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Agile Project Management|Aspire Journeys for Technology & Developer|PM|Project Management|Project Management Methods,1,https://cdn2.percipio.com/public/c/books/145315/cover-images/2025006b-2368-4d97-b6f6-4c9121c27bcf/modality/2025006b-2368-4d97-b6f6-4c9121c27bcf.jpg?width=400,e4be53b0-f9ee-11e6-9896-0776e4b35762_en-US,Agile Project Management [English(United States)],"Agile Project Management for Dummies, 2nd Edition","Language: English(United States)<br/>Type: Book Summary<br/>By: Mark C. Layton, Steven J. Ostermiller<br/>Copyright: Skillsoft (c) 2019<br/>ISBN: 9781119405696<br/>Agile Project Management, 2nd Edition discusses how to reduce risk and manage time, scope, and cost through agile project management. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/YOafX9-VHi6h"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/145315/cover-images/2025006b-2368-4d97-b6f6-4c9121c27bcf/modality/2025006b-2368-4d97-b6f6-4c9121c27bcf.jpg?width=400"" alt=""Agile Project Management for Dummies, 2nd Edition"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Mark C. Layton, Steven J. Ostermiller<br/>Copyright: Skillsoft (c) 2019<br/>ISBN: 9781119405696<br/><br/>Agile Project Management, 2nd Edition discusses how to reduce risk and manage time, scope, and cost through agile project management. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/YOafX9-VHi6h"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/a0fd5f21-5148-44d3-b6ff-836d89857ce2,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days (a0fd5f21-5148-44d3-b6ff-836d89857ce2),Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Language: English(United States)<br/>Type: Book Summary<br/>By: Braden Kowitz, Jake Knapp, John Zeratsky<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9781501121746<br/>In Sprint, authors Jake Knapp, John Zeratsky, and Braden Kowitz offer business-minded people a new, innovative approach to solving complex business challenges - in a mere five days. In this Review, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Agile Project Management|Project Management|Project Management Methods,1,https://cdn2.percipio.com/public/c/books/150885/cover-images/db4a196b-95ee-49c3-a65d-41e959293a86/modality/db4a196b-95ee-49c3-a65d-41e959293a86.jpg?width=400,e4be53b0-f9ee-11e6-9896-0776e4b35762_en-US,Agile Project Management [English(United States)],Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Language: English(United States)<br/>Type: Book Summary<br/>By: Braden Kowitz, Jake Knapp, John Zeratsky<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9781501121746<br/>In Sprint, authors Jake Knapp, John Zeratsky, and Braden Kowitz offer business-minded people a new, innovative approach to solving complex business challenges - in a mere five days. In this Review, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/XYyn1joKULnUd"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/150885/cover-images/db4a196b-95ee-49c3-a65d-41e959293a86/modality/db4a196b-95ee-49c3-a65d-41e959293a86.jpg?width=400"" alt=""Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Braden Kowitz, Jake Knapp, John Zeratsky<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9781501121746<br/><br/>In Sprint, authors Jake Knapp, John Zeratsky, and Braden Kowitz offer business-minded people a new, innovative approach to solving complex business challenges - in a mere five days. In this Review, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/XYyn1joKULnUd"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/a7437ab8-4655-4f26-9250-792fc078ec02,"The Agility Shift: Creating Agile and Effective Leaders, Teams, and Organizations (a7437ab8-4655-4f26-9250-792fc078ec02)","The Agility Shift: Creating Agile and Effective Leaders, Teams, and Organizations","Language: English(United States)<br/>Type: Book Summary<br/>By: Pamela Meyer<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9781629560700<br/>The Agility Shift provides leaders at all levels in an organization with the mindset, strategy, and practical tools to make them agile. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Agile Project Management|Project Management|Project Management Methods,1,https://cdn2.percipio.com/public/c/books/135392/cover-images/e281cc2f-2bdc-4e51-bec5-fba0a4761228/modality/e281cc2f-2bdc-4e51-bec5-fba0a4761228.jpg?width=400,e4be53b0-f9ee-11e6-9896-0776e4b35762_en-US,Agile Project Management [English(United States)],"The Agility Shift: Creating Agile and Effective Leaders, Teams, and Organizations","Language: English(United States)<br/>Type: Book Summary<br/>By: Pamela Meyer<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9781629560700<br/>The Agility Shift provides leaders at all levels in an organization with the mindset, strategy, and practical tools to make them agile. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/8cefs8sJ33G4S"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/135392/cover-images/e281cc2f-2bdc-4e51-bec5-fba0a4761228/modality/e281cc2f-2bdc-4e51-bec5-fba0a4761228.jpg?width=400"" alt=""The Agility Shift: Creating Agile and Effective Leaders, Teams, and Organizations"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Pamela Meyer<br/>Copyright: Skillsoft (c) 2018<br/>ISBN: 9781629560700<br/><br/>The Agility Shift provides leaders at all levels in an organization with the mindset, strategy, and practical tools to make them agile. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/8cefs8sJ33G4S"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/5d89284a-281b-4a58-80f1-0c0d9b8d6c68,The Executive Guide to Artificial Intelligence: How to Identify and Implement Applications for AI in Your Organization (5d89284a-281b-4a58-80f1-0c0d9b8d6c68),The Executive Guide to Artificial Intelligence: How to Identify and Implement Applications for AI in Your Organization,"Language: English(United States)<br/>Type: Book Summary<br/>By: Andrew Burgess<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9783319638195<br/>The Executive Guide to Artificial Intelligence explains how organizations can use machine intelligence to increase their efficiency and productivity. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Artificial Intelligence (AI)|Data|Data Architectures,1,https://cdn2.percipio.com/public/c/books/148948/cover-images/98b6fe89-2dae-4fe6-bbeb-439f88fe44d1/modality/98b6fe89-2dae-4fe6-bbeb-439f88fe44d1.jpg?width=400,b30e6050-b5a3-11e7-9235-e7f6f925afa4_en-US,Artificial Intelligence (AI) [English(United States)],The Executive Guide to Artificial Intelligence: How to Identify and Implement Applications for AI in Your Organization,"Language: English(United States)<br/>Type: Book Summary<br/>By: Andrew Burgess<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9783319638195<br/>The Executive Guide to Artificial Intelligence explains how organizations can use machine intelligence to increase their efficiency and productivity. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/sOATyAb1Ss1o"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/148948/cover-images/98b6fe89-2dae-4fe6-bbeb-439f88fe44d1/modality/98b6fe89-2dae-4fe6-bbeb-439f88fe44d1.jpg?width=400"" alt=""The Executive Guide to Artificial Intelligence: How to Identify and Implement Applications for AI in Your Organization"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Andrew Burgess<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9783319638195<br/><br/>The Executive Guide to Artificial Intelligence explains how organizations can use machine intelligence to increase their efficiency and productivity. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/sOATyAb1Ss1o"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/dc732547-7a45-441c-9699-6570a8ca2645,Life 3.0: Being Human in the Age of Artificial Intelligence (dc732547-7a45-441c-9699-6570a8ca2645),Life 3.0: Being Human in the Age of Artificial Intelligence,"Language: English(United States)<br/>Type: Book Summary<br/>By: Max Tegmark<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9781101970317<br/>In Life 3.0, author Max Tegmark successfully demystifies the complexities of artificial intelligence, using a simple analogy to depict life on earth along an evolutionary continuum. In this Review, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Artificial Intelligence (AI)|Data|Data Architectures,1,https://cdn2.percipio.com/public/c/books/148973/cover-images/95dd852e-4131-4988-aa62-54eb0e7df599/modality/95dd852e-4131-4988-aa62-54eb0e7df599.jpg?width=400,b30e6050-b5a3-11e7-9235-e7f6f925afa4_en-US,Artificial Intelligence (AI) [English(United States)],Life 3.0: Being Human in the Age of Artificial Intelligence,"Language: English(United States)<br/>Type: Book Summary<br/>By: Max Tegmark<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9781101970317<br/>In Life 3.0, author Max Tegmark successfully demystifies the complexities of artificial intelligence, using a simple analogy to depict life on earth along an evolutionary continuum. In this Review, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/E_91Ecuo-9OUu"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/148973/cover-images/95dd852e-4131-4988-aa62-54eb0e7df599/modality/95dd852e-4131-4988-aa62-54eb0e7df599.jpg?width=400"" alt=""Life 3.0: Being Human in the Age of Artificial Intelligence"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Max Tegmark<br/>Copyright: Skillsoft (c) 2020<br/>ISBN: 9781101970317<br/><br/>In Life 3.0, author Max Tegmark successfully demystifies the complexities of artificial intelligence, using a simple analogy to depict life on earth along an evolutionary continuum. In this Review, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/E_91Ecuo-9OUu"" target=""_blank"">Launch</a><br/>",1
https://xapi.percipio.com/xapi/book/5b2f06a3-8404-4e57-9f07-3349e565fe6b,"101 Tips for Telecommuters: Successfully Manage Your Work, Team, Technology and Family (5b2f06a3-8404-4e57-9f07-3349e565fe6b)","101 Tips for Telecommuters: Successfully Manage Your Work, Team, Technology and Family","Language: English(United States)<br/>Type: Book Summary<br/>By: Debra A. Dinnocenzo<br/>Copyright: Skillsoft (c) 2017<br/>ISBN: 9781576750698<br/>101 Tips for Telecommuters is an easy-to-use guide for successful telecommuting. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.",Book Summary|English(United States)|Aspire Journeys for Business Skills|Business Continuity|Business Skills|Business Strategy|Individual Professional Performance|Management|Professional Improvement|Working Remotely,1,https://cdn2.percipio.com/public/c/books/133105/cover-images/74b48e03-d15f-40a2-aa8e-ae223870ce69/modality/74b48e03-d15f-40a2-aa8e-ae223870ce69.jpg?width=400,3a13566c-d330-429d-bbbe-896dfd4a983f_en-US,Working Remotely [English(United States)],"101 Tips for Telecommuters: Successfully Manage Your Work, Team, Technology and Family","Language: English(United States)<br/>Type: Book Summary<br/>By: Debra A. Dinnocenzo<br/>Copyright: Skillsoft (c) 2017<br/>ISBN: 9781576750698<br/>101 Tips for Telecommuters is an easy-to-use guide for successful telecommuting. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.","<a href=""https://share.percipio.com/cd/bgbYrH79Ypik"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/books/133105/cover-images/74b48e03-d15f-40a2-aa8e-ae223870ce69/modality/74b48e03-d15f-40a2-aa8e-ae223870ce69.jpg?width=400"" alt=""101 Tips for Telecommuters: Successfully Manage Your Work, Team, Technology and Family"" class=""img-responsive""></a><br/><br/>Language: English(United States)<br/>Type: Book Summary<br/>By: Debra A. Dinnocenzo<br/>Copyright: Skillsoft (c) 2017<br/>ISBN: 9781576750698<br/><br/>101 Tips for Telecommuters is an easy-to-use guide for successful telecommuting. In this Summary, we discuss the salient points of the book based on our interpretation of its contents.<br/><a href=""https://share.percipio.com/cd/bgbYrH79Ypik"" target=""_blank"">Launch</a><br/>",1
