COURSE_IDNUMBER,COURSE_SHORTNAME,COURSE_FULLNAME,COURSE_SUMMARY,COURSE_TAGS,COURSE_VISIBLE,COURSE_CATEGORYIDNUMBER,COURSE_CATEGORYNAME,PAGE_NAME,PAGE_INTRO,PAGE_CONTENT
1b49aa30-e719-11e6-9835-f723b46a2688,(Channel) Strategic Thinking (1b49aa30-e719-11e6-9835-f723b46a2688),(Channel) Strategic Thinking,How can you be more strategic as a leader? Strategic thinkers continually ask questions to help create the bridge between strategy and tactics.,Business Strategy|Management|Strategic Thinking,1,1b49aa30-e719-11e6-9835-f723b46a2688,Strategic Thinking,(Channel) Strategic Thinking,How can you be more strategic as a leader? Strategic thinkers continually ask questions to help create the bridge between strategy and tactics.,"<p><a href=""https://share.percipio.com/cd/ByqP0kIVn74"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/1b49aa30-e719-11e6-9835-f723b46a2688/fe3e557e-75df-40a7-a14e-9baabf1b61d5.jpg?width=400"" alt=""Strategic Thinking"" class=""img-responsive""></a></p><p><p>How can you be more strategic as a leader? Strategic thinkers continually ask questions to help create the bridge between strategy and tactics.</p></p><p><a href=""https://share.percipio.com/cd/ByqP0kIVn74"" target=""_blank"">Launch</a></p>"
8d63e880-e1a4-11e6-91a7-0242c0a80704,(Channel) DevOps Tools (8d63e880-e1a4-11e6-91a7-0242c0a80704),(Channel) DevOps Tools,Explore the world of software development and IT operations known as DevOps.,DevOps|DevOps Tools|Developer|Developer Concepts & Methodologies|IT Operations,1,8d63e880-e1a4-11e6-91a7-0242c0a80704,DevOps Tools,(Channel) DevOps Tools,Explore the world of software development and IT operations known as DevOps.,"<p><a href=""https://share.percipio.com/cd/BJA9CyL4h7E"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/8d63e880-e1a4-11e6-91a7-0242c0a80704/4009869b-753a-4315-bdb9-e0fea6ce7f74.jpg?width=400"" alt=""DevOps Tools"" class=""img-responsive""></a></p><p><p>Explore the world of software development and IT operations known as DevOps.</p></p><p><a href=""https://share.percipio.com/cd/BJA9CyL4h7E"" target=""_blank"">Launch</a></p>"
17913de0-df49-11e6-93f3-0242c0a80605,(Channel) Cloud Basics (17913de0-df49-11e6-93f3-0242c0a80605),(Channel) Cloud Basics,"Explore the core concepts of the Cloud, including the basics of cloud computing, why its so popular, and where to begin.",Cloud Basics|Cloud Services,1,17913de0-df49-11e6-93f3-0242c0a80605,Cloud Basics,(Channel) Cloud Basics,"Explore the core concepts of the Cloud, including the basics of cloud computing, why its so popular, and where to begin.","<p><a href=""https://share.percipio.com/cd/HJiKNsvTV2mV"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/17913de0-df49-11e6-93f3-0242c0a80605.jpg?width=400"" alt=""Cloud Basics"" class=""img-responsive""></a></p><p><p>Explore the core concepts of the Cloud, including the basics of cloud computing, why it&#39;s so popular, and where to begin.</p></p><p><a href=""https://share.percipio.com/cd/HJiKNsvTV2mV"" target=""_blank"">Launch</a></p>"
78af57c0-e196-11e6-93f3-0242c0a80605,(Channel) Cloud Security (78af57c0-e196-11e6-93f3-0242c0a80605),(Channel) Cloud Security,"The Cloud is a powerful place, but like local networks, security is job #1. Come learn the various aspects of cloud security.",Cloud Security|Cloud Services,1,78af57c0-e196-11e6-93f3-0242c0a80605,Cloud Security,(Channel) Cloud Security,"The Cloud is a powerful place, but like local networks, security is job #1. Come learn the various aspects of cloud security.","<p><a href=""https://share.percipio.com/cd/r1w2XoPaVhmN"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/78af57c0-e196-11e6-93f3-0242c0a80605.jpg?width=400"" alt=""Cloud Security"" class=""img-responsive""></a></p><p><p>The Cloud is a powerful place, but like local networks, security is job #1. Come learn the various aspects of cloud security.</p></p><p><a href=""https://share.percipio.com/cd/r1w2XoPaVhmN"" target=""_blank"">Launch</a></p>"
3356fb80-e248-11e6-91a7-0242c0a80704,(Channel) Excel (3356fb80-e248-11e6-91a7-0242c0a80704),(Channel) Excel,Excel is the powerful spreadsheet component of Microsoft Office. Discover Excel and its many uses.,Excel|Microsoft Office|Productivity & Collaboration Tools,1,3356fb80-e248-11e6-91a7-0242c0a80704,Excel,(Channel) Excel,Excel is the powerful spreadsheet component of Microsoft Office. Discover Excel and its many uses.,"<p><a href=""https://share.percipio.com/cd/S1ldROpVhmE"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/3356fb80-e248-11e6-91a7-0242c0a80704/0149fa2e-467a-41de-8bb9-5621bec99caa.jpg?width=400"" alt=""Excel"" class=""img-responsive""></a></p><p><p>Excel is the powerful spreadsheet component of Microsoft Office. Discover Excel and its many uses.</p></p><p><a href=""https://share.percipio.com/cd/S1ldROpVhmE"" target=""_blank"">Launch</a></p>"
594a0920-e1a0-11e6-91a7-0242c0a80704,(Channel) JavaScript Core Concepts (594a0920-e1a0-11e6-91a7-0242c0a80704),(Channel) JavaScript Core Concepts,"JavaScript is a lightweight browser-based scripting language, the core of client Web development. Explore JavaScript and its many uses.",Developer|JavaScript Core Concepts|Programming Languages,1,594a0920-e1a0-11e6-91a7-0242c0a80704,JavaScript Core Concepts,(Channel) JavaScript Core Concepts,"JavaScript is a lightweight browser-based scripting language, the core of client Web development. Explore JavaScript and its many uses.","<p><a href=""https://share.percipio.com/cd/S1APXNdTE27V"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/594a0920-e1a0-11e6-91a7-0242c0a80704.jpg?width=400"" alt=""JavaScript Core Concepts"" class=""img-responsive""></a></p><p><p>JavaScript is a lightweight browser-based scripting language, the core of client Web development. Explore JavaScript and its many uses.</p></p><p><a href=""https://share.percipio.com/cd/S1APXNdTE27V"" target=""_blank"">Launch</a></p>"
e0bd5fb0-e196-11e6-93f3-0242c0a80605,(Channel) Amazon Web Services Architecture (e0bd5fb0-e196-11e6-93f3-0242c0a80605),(Channel) Amazon Web Services Architecture,Discover the architecture behind AWSs wide range of web services that can be mixed and matched and quickly deployed.,Amazon Web Services Architecture|Cloud Platforms|Cloud Services,1,e0bd5fb0-e196-11e6-93f3-0242c0a80605,Amazon Web Services Architecture,(Channel) Amazon Web Services Architecture,Discover the architecture behind AWSs wide range of web services that can be mixed and matched and quickly deployed.,"<p><a href=""https://share.percipio.com/cd/r1g0EiPTV37N"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/e0bd5fb0-e196-11e6-93f3-0242c0a80605/b9f28f16-c544-47f2-ba55-fb74bad702b8.jpg?width=400"" alt=""Amazon Web Services Architecture"" class=""img-responsive""></a></p><p><p>Discover the architecture behind AWS&#39;s wide range of web services that can be mixed and matched and quickly deployed.</p></p><p><a href=""https://share.percipio.com/cd/r1g0EiPTV37N"" target=""_blank"">Launch</a></p>"
dc64ce30-e24a-11e6-93f3-0242c0a80605,(Channel) Windows End User (dc64ce30-e24a-11e6-93f3-0242c0a80605),(Channel) Windows End User,Microsoft Windows is the ubiquitous OS running the majority of the worlds computers. Learn about Windows and its features here.,Browsers & Operating Systems|Productivity & Collaboration Tools|Windows End User,1,dc64ce30-e24a-11e6-93f3-0242c0a80605,Windows End User,(Channel) Windows End User,Microsoft Windows is the ubiquitous OS running the majority of the worlds computers. Learn about Windows and its features here.,"<p><a href=""https://share.percipio.com/cd/S1QObDFTVnXE"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/dc64ce30-e24a-11e6-93f3-0242c0a80605.jpg?width=400"" alt=""Windows End User"" class=""img-responsive""></a></p><p><p>Microsoft Windows is the ubiquitous OS running the majority of the world&#39;s computers. Learn about Windows and its features here.</p></p><p><a href=""https://share.percipio.com/cd/S1QObDFTVnXE"" target=""_blank"">Launch</a></p>"
548cff90-e24b-11e6-93f3-0242c0a80605,(Channel) Slack (548cff90-e24b-11e6-93f3-0242c0a80605),(Channel) Slack,Slack is an enterprise-strength messaging platform that provides instant collaboration for users. Discover Slack and its uses.,Productivity & Collaboration Tools|Productivity Tools|Slack,1,548cff90-e24b-11e6-93f3-0242c0a80605,Slack,(Channel) Slack,Slack is an enterprise-strength messaging platform that provides instant collaboration for users. Discover Slack and its uses.,"<p><a href=""https://share.percipio.com/cd/r1UzUWbA43X4"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/548cff90-e24b-11e6-93f3-0242c0a80605.jpg?width=400"" alt=""Slack"" class=""img-responsive""></a></p><p><p>Slack is an enterprise-strength messaging platform that provides instant collaboration for users. Discover Slack and its uses.</p></p><p><a href=""https://share.percipio.com/cd/r1UzUWbA43X4"" target=""_blank"">Launch</a></p>"
0d2d2c20-e1a0-11e6-91a7-0242c0a80704,(Channel) Java (0d2d2c20-e1a0-11e6-91a7-0242c0a80704),(Channel) Java,Java is Oracles object-oriented programming (OOP) language. Discover Java and its usage.,Developer|Java|Programming Languages,1,0d2d2c20-e1a0-11e6-91a7-0242c0a80704,Java,(Channel) Java,Java is Oracles object-oriented programming (OOP) language. Discover Java and its usage.,"<p><a href=""https://share.percipio.com/cd/BJilNEOpV3XV"" target=""_blank""><img src=""https://cdn2.percipio.com/public/c/channel/images/saved/0d2d2c20-e1a0-11e6-91a7-0242c0a80704/888d8c18-4d86-40f7-a895-d155e9b1370c.jpg?width=400"" alt=""Java"" class=""img-responsive""></a></p><p><p>Java is Oracle&#39;s object-oriented programming (OOP) language. Discover Java and its usage.</p></p><p><a href=""https://share.percipio.com/cd/BJilNEOpV3XV"" target=""_blank"">Launch</a></p>"
